seed,host_k,donor_k,swap_scope,layer_id,validation_loss,baseline_loss,delta_loss
0,3,8,single_layer,3,0.8444017682756696,0.86644408816383,-0.02204231988816041
0,3,8,single_layer,4,0.8418499174572173,0.86644408816383,-0.02459417070661274
0,3,8,single_layer,5,0.8551387786865234,0.86644408816383,-0.011305309477306569
0,3,8,single_layer,6,0.8608494713192895,0.86644408816383,-0.005594616844540545
0,3,8,single_layer,7,0.8815390268961588,0.86644408816383,0.015094938732328811
0,4,1,all_layers,-1,0.9659242175874256,0.7842632475353423,0.18166097005208337
0,4,1,single_layer,0,0.8083412533714658,0.7842632475353423,0.024078005836123517
0,4,1,single_layer,1,0.7968695504324776,0.7842632475353423,0.01260630289713538
0,4,1,single_layer,2,0.7853094736735026,0.7842632475353423,0.0010462261381603
0,4,1,single_layer,3,0.7733203342982701,0.7842632475353423,-0.010942913237072194
0,4,1,single_layer,4,0.8012361072358631,0.7842632475353423,0.01697285970052087
0,4,1,single_layer,5,0.7948018028622582,0.7842632475353423,0.010538555326915944
0,4,1,single_layer,6,0.7909213474818638,0.7842632475353423,0.006658099946521556
0,4,1,single_layer,7,0.773349852789016,0.7842632475353423,-0.010913394746326244
0,4,2,all_layers,-1,0.8189059666224888,0.7842632475353423,0.034642719087146556
0,4,2,single_layer,0,0.7906322479248047,0.7842632475353423,0.00636900038946242
0,4,2,single_layer,1,0.7687133607410249,0.7842632475353423,-0.015549886794317347
0,4,2,single_layer,2,0.7757530212402344,0.7842632475353423,-0.008510226295107892
0,4,2,single_layer,3,0.7696158999488467,0.7842632475353423,-0.014647347586495552
0,4,2,single_layer,4,0.7787936074393136,0.7842632475353423,-0.005469640096028683
0,4,2,single_layer,5,0.7900634039015997,0.7842632475353423,0.005800156366257414
0,4,2,single_layer,6,0.7898334321521577,0.7842632475353423,0.005570184616815466
0,4,2,single_layer,7,0.7808985028948102,0.7842632475353423,-0.003364744640532047
0,4,3,all_layers,-1,0.7706264314197359,0.7842632475353423,-0.01363681611560641
0,4,3,single_layer,0,0.7897638593401227,0.7842632475353423,0.005500611804780453
0,4,3,single_layer,1,0.7911353338332403,0.7842632475353423,0.006872086297898039
0,4,3,single_layer,2,0.7773719060988653,0.7842632475353423,-0.006891341436476961
0,4,3,single_layer,3,0.7770907084147135,0.7842632475353423,-0.0071725391206287625
0,4,3,single_layer,4,0.7835271926153273,0.7842632475353423,-0.0007360549200149391
0,4,3,single_layer,5,0.7795955113002232,0.7842632475353423,-0.004667736235119069
0,4,3,single_layer,6,0.7807146708170573,0.7842632475353423,-0.0035485767182850125
0,4,3,single_layer,7,0.7898308890206474,0.7842632475353423,0.005567641485305086
0,4,4,all_layers,-1,0.7842632475353423,0.7842632475353423,0.0
0,4,4,single_layer,0,0.7842632475353423,0.7842632475353423,0.0
0,4,4,single_layer,1,0.7842632475353423,0.7842632475353423,0.0
0,4,4,single_layer,2,0.7842632475353423,0.7842632475353423,0.0
0,4,4,single_layer,3,0.7842632475353423,0.7842632475353423,0.0
0,4,4,single_layer,4,0.7842632475353423,0.7842632475353423,0.0
0,4,4,single_layer,5,0.7842632475353423,0.7842632475353423,0.0
0,4,4,single_layer,6,0.7842632475353423,0.7842632475353423,0.0
0,4,4,single_layer,7,0.7842632475353423,0.7842632475353423,0.0
0,4,5,all_layers,-1,0.7895217168898809,0.7842632475353423,0.005258469354538664
0,4,5,single_layer,0,0.793787093389602,0.7842632475353423,0.009523845854259694
0,4,5,single_layer,1,0.7747967129661923,0.7842632475353423,-0.00946653456914992
0,4,5,single_layer,2,0.7888423374720982,0.7842632475353423,0.004579089936755931
