pair,layer_id,total_logit_mse,router_contribution,representation_contribution,router_share,representation_share,router_component_mse,representation_component_mse,interaction_mse,mean_abs_decomposition_residual,num_seeds
1-8,5,0.5584229514712379,0.21409613177889866,0.344326827261183,0.3835112820171565,0.6164887312988644,0.17068323918751307,0.30091393845421927,0.10609094018027897,9.239311256105937e-13,3
1-8,6,0.5842557994146196,0.23498962228260342,0.3492661979463365,0.4021302847754393,0.5978697507834059,0.19644579906312246,0.3107223737807501,0.11061743091023157,1.3281509930652287e-12,3
1-8,7,0.6140005229011415,0.2684433611612471,0.3455571787697928,0.4370126459793096,0.5629873816561891,0.21507610025860013,0.2921899150288294,0.10054867135153878,1.9056079465718497e-12,3
2-3,0,0.027335992881229943,0.021675640687582987,0.005660352578002309,0.7925078135563686,0.20749220044049824,0.02096826807847099,0.0049529800132390054,0.00012460741443589095,0.0,3
2-3,1,0.0811290755158379,0.024121732347541388,0.05700734470571791,0.29724888147970446,0.7027511377708638,0.019328709750894516,0.0522143223455974,0.0014638020287430474,0.0,3
2-3,2,0.16126327382193673,0.03258979675315675,0.12867348061667547,0.20143959341089782,0.7985604296827086,0.02220129428638352,0.11828497619855971,0.0044038793633854574,0.0,3
2-3,3,0.24316403222462488,0.04130246927813879,0.20186157075185626,0.16993981962804203,0.8300602121991224,0.02641527200975115,0.18697437454783727,0.007821679144861206,5.774569535066211e-14,3
2-3,4,0.3120587203237746,0.05132010839288196,0.2607386131135244,0.16426491290017045,0.8357350913955601,0.032635971312485045,0.242054473786127,0.012670095241259014,5.774569535066211e-14,3
2-3,5,0.37507295703131055,0.05693599558065807,0.3181369664177062,0.15179506614528823,0.8482049471019346,0.03403279918526846,0.29523376718400013,0.01497107223858909,0.0,3
2-3,6,0.41799540557558573,0.0686778508954578,0.3493175705273946,0.1640648789361062,0.8359351591007645,0.04495127002398173,0.3255909794852847,0.020444385943904755,1.7323708605198632e-13,3
2-3,7,0.4281524665771969,0.08828191080736736,0.3398705701979379,0.20537490921481374,0.7946251243500688,0.0649327113041802,0.3165213617067488,0.023121867506276993,4.0421986745463475e-13,3
2-4,0,0.03204184333010325,0.025461127360661823,0.006580716649454738,0.7942179404844114,0.20578208065660317,0.024647754809213065,0.005767344556275814,0.000184049843699627,5.774569535066211e-14,3
2-4,1,0.08697920919410766,0.027834895111265637,0.05914431763073755,0.32022508946470185,0.6797749511769998,0.022614455530567776,0.05392387722219739,0.0017269783106351657,5.774569535066211e-14,3
2-4,2,0.17019973766236077,0.036372535167232385,0.1338272061612871,0.2134108621502114,0.786589159756979,0.024644802250559362,0.12209947147066631,0.0049175746177160555,0.0,3
2-4,3,0.2554958122117179,0.04374849571595116,0.21174732370982094,0.17130132156233277,0.8286987067389616,0.027391327988533748,0.19539015539108762,0.00887097900230733,0.0,3
2-4,4,0.34041478047295226,0.05977060846866123,0.2806441793366084,0.17567105374948633,0.8243289682394356,0.037474496851837825,0.2583480609787835,0.015202963222113869,1.1549139070132421e-13,3
2-4,5,0.4078942612996177,0.06626497492903755,0.3416292951220558,0.16233564479309967,0.8376643777740117,0.03919474141938346,0.3145590575914535,0.018212724063131545,5.774569535066211e-14,3
2-4,6,0.4518036161150251,0.07619383860202063,0.37560978200700545,0.16874180287657717,0.8312582073434727,0.05042387143013969,0.3498398027722798,0.023236349579833806,5.774569535066211e-13,3
2-4,7,0.4681413722416711,0.10413759260896653,0.3640037983182877,0.22152609148391658,0.778473948012676,0.07518034132700117,0.33504653355431935,0.028525062851489535,4.0421986745463475e-13,3
2-5,0,0.032457996928502646,0.02610251496708582,0.006355482685778822,0.8038383397313655,0.19616168199716158,0.02541059314731568,0.005663561634719372,0.00017989781548431705,5.774569535066211e-14,3
2-5,1,0.08897445386364346,0.029500064395722888,0.05947439017749968,0.3315272265253672,0.6684727816584667,0.024431313432398297,0.05440563933243828,0.001875160587212396,0.0,3
