seed,pair,layer_id,total_logit_mse,router_contribution,representation_contribution,router_share,representation_share,router_component_mse,representation_component_mse,interaction_mse,mean_abs_decomposition_residual,num_values
0,2-3,3,0.24441300119672502,0.04010861047676632,0.20430439142953782,0.16410178787700164,0.8358982150261955,0.02523393609694072,0.18942972591945104,0.00772098380894888,0.0,172032
0,2-3,4,0.3007388710975647,0.046119570022537595,0.25461931171871366,0.1533542034464033,0.8466458319453853,0.030631262631643386,0.23913099936076573,0.01209595018909091,0.0,172032
0,2-3,5,0.3722033557437715,0.056400637541498454,0.31580272175016855,0.15153178140695006,0.8484682281251926,0.03318450457993008,0.29258659340086435,0.01537278454218592,0.0,172032
0,2-3,6,0.4134022735414051,0.068777173047974,0.3446251153945923,0.1663686376438989,0.8336313984012855,0.04431356702532087,0.32016150156656903,0.02084523102357274,0.0,172032
0,2-3,7,0.40468578111557735,0.07286308705806732,0.331822707539513,0.18004854743650553,0.8199514858782379,0.05319761307466598,0.31215721652621314,0.020703642850830442,1.7323708605198632e-13,172032
0,2-4,0,0.030885978114037288,0.024267856563840593,0.006618121284104529,0.7857240743433396,0.214275917041354,0.02365011792807352,0.006000382293547902,0.00020114160447736227,0.0,172032
0,2-4,1,0.08416786647978283,0.027802044791834696,0.0563658234618959,0.3303166155282404,0.6696834055480663,0.022805429640270415,0.051369208665121166,0.0015668090477231004,0.0,172032
0,2-4,2,0.15728447408903212,0.031503859375204356,0.12578062074525015,0.20029859627067415,0.7997014420765461,0.021954623361428578,0.11623137905484154,0.0042698509281589875,0.0,172032
0,2-4,3,0.24006605715978713,0.041097471047015416,0.19896859498251052,0.17119234402913147,0.8288076929179443,0.02544259847629638,0.18331371602557955,0.008465136889190901,0.0,172032
0,2-4,4,0.32723342520850046,0.05737980632554917,0.2698536316553752,0.17534824350229192,0.8246517955292462,0.0360627348224322,0.24853655837831043,0.014724673082431158,1.7323708605198632e-13,172032
0,2-4,5,0.38467916420527865,0.060735536473137994,0.32394365185783025,0.1578862130435724,0.8421138496728205,0.03524001545849301,0.298448125521342,0.017494688431421917,1.7323708605198632e-13,172032
