host_k,donor_k,swap_scope,layer_id,validation_loss,baseline_loss,delta_loss,num_seeds
3,8,single_layer,1,0.8369816674126519,0.8557762569851346,-0.018794589572482628,3
3,8,single_layer,2,0.850864985632518,0.8557762569851346,-0.004911271352616524,3
3,8,single_layer,3,0.8550684489901103,0.8557762569851346,-0.0007078079950241604,3
3,8,single_layer,4,0.8478326948862227,0.8557762569851346,-0.00794356209891182,3
3,8,single_layer,5,0.8571671379937067,0.8557762569851346,0.001390881008572098,3
3,8,single_layer,6,0.855908681475927,0.8557762569851346,0.00013242449079246357,3
3,8,single_layer,7,0.8633289337158203,0.8557762569851346,0.007552676730685788,3
4,1,all_layers,-1,1.0400547451443143,0.8920087360200428,0.14804600912427143,3
4,1,single_layer,0,0.9165875571114676,0.8920087360200428,0.02457882109142484,3
4,1,single_layer,1,0.9141839648049975,0.8920087360200428,0.022175228784954704,3
4,1,single_layer,2,0.9014796907939608,0.8920087360200428,0.009470954773918017,3
4,1,single_layer,3,0.9035606384277344,0.8920087360200428,0.01155190240769155,3
4,1,single_layer,4,0.9052644154382131,0.8920087360200428,0.01325567941817026,3
4,1,single_layer,5,0.9075894431462364,0.8920087360200428,0.015580707126193563,3
4,1,single_layer,6,0.8850156995985244,0.8920087360200428,-0.0069930364215184575,3
4,1,single_layer,7,0.8694062005905878,0.8920087360200428,-0.022602535429454968,3
4,2,all_layers,-1,0.9174669356573194,0.8920087360200428,0.025458199637276763,3
4,2,single_layer,0,0.8988244192940847,0.8920087360200428,0.006815683274042028,3
4,2,single_layer,1,0.9062763395763579,0.8920087360200428,0.014267603556315104,3
4,2,single_layer,2,0.8928325289771669,0.8920087360200428,0.0008237929571242401,3
4,2,single_layer,3,0.8852081601581876,0.8920087360200428,-0.0068005758618551555,3
4,2,single_layer,4,0.8874449654230996,0.8920087360200428,-0.004563770596943202,3
4,2,single_layer,5,0.902489980061849,0.8920087360200428,0.01048124404180617,3
4,2,single_layer,6,0.8905110737634083,0.8920087360200428,-0.0014976622566344282,3
4,2,single_layer,7,0.8769261799161395,0.8920087360200428,-0.015082556103903152,3
4,3,all_layers,-1,0.8866585020035033,0.8920087360200428,-0.005350234016539557,3
4,3,single_layer,0,0.8974709586491659,0.8920087360200428,0.0054622226291232145,3
4,3,single_layer,1,0.9068711295960442,0.8920087360200428,0.01486239357600135,3
4,3,single_layer,2,0.8930017985994855,0.8920087360200428,0.0009930625794425756,3
4,3,single_layer,3,0.8828955756293402,0.8920087360200428,-0.009113160390702535,3
4,3,single_layer,4,0.887502912491087,0.8920087360200428,-0.004505823528955862,3
