seed,pair,layer_id,component,metric_name,value,num_records
0,1-4,6,router_on_hidden_a,nestedness,0.7226562755448478,5376
0,1-4,6,router_on_hidden_a,spearman,0.7574494821684701,5376
0,1-4,6,router_on_hidden_a,top1_agreement,0.3390997179916927,5376
0,1-4,6,router_on_hidden_b,nestedness,0.9313616241727557,5376
0,1-4,6,router_on_hidden_b,spearman,0.8412364806447711,5376
0,1-4,6,router_on_hidden_b,top1_agreement,0.6741071598870414,5376
0,1-4,6,total,nestedness,0.37853423612458365,5376
0,1-4,6,total,spearman,0.4138629308768681,5376
0,1-4,6,total,top1_agreement,0.13355655116694315,5376
0,1-4,7,representation_with_router_a,nestedness,0.20498512259551457,5376
0,1-4,7,representation_with_router_a,spearman,0.5210910992962974,5376
0,1-4,7,representation_with_router_a,top1_agreement,0.20498512259551457,5376
0,1-4,7,representation_with_router_b,nestedness,0.4819568565913609,5376
0,1-4,7,representation_with_router_b,spearman,0.6223008121762957,5376
0,1-4,7,representation_with_router_b,top1_agreement,0.46372769134385244,5376
0,1-4,7,router_on_hidden_a,nestedness,0.7687872222491673,5376
0,1-4,7,router_on_hidden_a,spearman,0.7775963970593044,5376
0,1-4,7,router_on_hidden_a,top1_agreement,0.3891369104385376,5376
0,1-4,7,router_on_hidden_b,nestedness,0.9348958475249154,5376
0,1-4,7,router_on_hidden_b,spearman,0.8543676478522164,5376
0,1-4,7,router_on_hidden_b,top1_agreement,0.6863839456013271,5376
0,1-4,7,total,nestedness,0.44698661991528105,5376
0,1-4,7,total,spearman,0.44457814523151945,5376
0,1-4,7,total,top1_agreement,0.1979166716337204,5376
0,1-5,0,representation_with_router_a,nestedness,0.7894345436777387,5376
0,1-5,0,representation_with_router_a,spearman,0.969092241355351,5376
0,1-5,0,representation_with_router_a,top1_agreement,0.7894345436777387,5376
0,1-5,0,representation_with_router_b,nestedness,0.8683408073016575,5376
0,1-5,0,representation_with_router_b,spearman,0.9666409492492676,5376
0,1-5,0,representation_with_router_b,top1_agreement,0.8214285969734192,5376
0,1-5,0,router_on_hidden_a,nestedness,0.8963913917541504,5376
0,1-5,0,router_on_hidden_a,spearman,0.8526747993060521,5376
0,1-5,0,router_on_hidden_a,top1_agreement,0.45442708900996615,5376
0,1-5,0,router_on_hidden_b,nestedness,0.894717276096344,5376
0,1-5,0,router_on_hidden_b,spearman,0.8477847916739327,5376
0,1-5,0,router_on_hidden_b,top1_agreement,0.4618675708770752,5376
0,1-5,0,total,nestedness,0.8656994274684361,5376
0,1-5,0,total,spearman,0.829215441431318,5376
0,1-5,0,total,top1_agreement,0.43247768708637785,5376
0,1-5,1,representation_with_router_a,nestedness,0.44847470947674345,5376
0,1-5,1,representation_with_router_a,spearman,0.8136019536427089,5376
0,1-5,1,representation_with_router_a,top1_agreement,0.44847470947674345,5376
0,1-5,1,representation_with_router_b,nestedness,0.6681920034544808,5376
0,1-5,1,representation_with_router_b,spearman,0.8268505249704633,5376
0,1-5,1,representation_with_router_b,top1_agreement,0.49869793227740694,5376
0,1-5,1,router_on_hidden_a,nestedness,0.8971354365348816,5376
0,1-5,1,router_on_hidden_a,spearman,0.8573587792260307,5376
0,1-5,1,router_on_hidden_a,top1_agreement,0.45331102183886934,5376
0,1-5,1,router_on_hidden_b,nestedness,0.9183407851627895,5376
0,1-5,1,router_on_hidden_b,spearman,0.8680047392845154,5376
0,1-5,1,router_on_hidden_b,top1_agreement,0.48939733845846994,5376
0,1-5,1,total,nestedness,0.7444196513720921,5376
0,1-5,1,total,spearman,0.7185299737112862,5376
0,1-5,1,total,top1_agreement,0.3082217403820583,5376
0,1-5,2,representation_with_router_a,nestedness,0.32328870466777254,5376
0,1-5,2,representation_with_router_a,spearman,0.7217642494610378,5376
0,1-5,2,representation_with_router_a,top1_agreement,0.32328870466777254,5376
0,1-5,2,representation_with_router_b,nestedness,0.5765253220285688,5376
0,1-5,2,representation_with_router_b,spearman,0.7356927650315421,5376
0,1-5,2,representation_with_router_b,top1_agreement,0.38020834752491545,5376
0,1-5,2,router_on_hidden_a,nestedness,0.8949032936777387,5376
0,1-5,2,router_on_hidden_a,spearman,0.8398112484386989,5376
0,1-5,2,router_on_hidden_a,top1_agreement,0.47154018708637785,5376
0,1-5,2,router_on_hidden_b,nestedness,0.9354538832392011,5376
0,1-5,2,router_on_hidden_b,spearman,0.8601708241871425,5376
0,1-5,2,router_on_hidden_b,top1_agreement,0.563244070325579,5376
0,1-5,2,total,nestedness,0.6395089456013271,5376
0,1-5,2,total,spearman,0.6183102812085833,5376
0,1-5,2,total,top1_agreement,0.23046875425747462,5376
0,1-5,3,representation_with_router_a,nestedness,0.2736235239676067,5376
0,1-5,3,representation_with_router_a,spearman,0.6391762069293431,5376
0,1-5,3,representation_with_router_a,top1_agreement,0.2736235239676067,5376
0,1-5,3,representation_with_router_b,nestedness,0.5234747358730861,5376
0,1-5,3,representation_with_router_b,spearman,0.6680487479482379,5376
0,1-5,3,representation_with_router_b,top1_agreement,0.3402157851627895,5376
0,1-5,3,router_on_hidden_a,nestedness,0.8497024008205959,5376
0,1-5,3,router_on_hidden_a,spearman,0.7906210337366376,5376
0,1-5,3,router_on_hidden_a,top1_agreement,0.41685268708637785,5376
0,1-5,3,router_on_hidden_b,nestedness,0.913876507963453,5376
0,1-5,3,router_on_hidden_b,spearman,0.8268107175827026,5376
