seed,pair,layer_id,intersection_size,count,share
0,3-6,-1,1,30967,0.12000480530753968
0,3-6,-1,2,100243,0.3884664868551587
0,3-6,-1,3,123584,0.4789186507936508
0,3-7,0,0,0,0.0
0,3-7,0,1,52,0.0016121031746031745
0,3-7,0,2,2480,0.07688492063492064
0,3-7,0,3,29724,0.9215029761904762
0,3-7,1,0,3,9.300595238095238e-05
0,3-7,1,1,535,0.016586061507936508
0,3-7,1,2,6217,0.19273933531746032
0,3-7,1,3,25501,0.7905815972222222
0,3-7,2,0,108,0.0033482142857142855
0,3-7,2,1,1812,0.05617559523809524
0,3-7,2,2,9959,0.30874875992063494
0,3-7,2,3,20377,0.6317274305555556
0,3-7,3,0,219,0.006789434523809524
0,3-7,3,1,2820,0.08742559523809523
0,3-7,3,2,13183,0.40869915674603174
0,3-7,3,3,16034,0.4970858134920635
0,3-7,4,0,381,0.011811755952380952
0,3-7,4,1,3647,0.1130642361111111
0,3-7,4,2,13716,0.4252232142857143
0,3-7,4,3,14512,0.44990079365079366
0,3-7,5,0,393,0.012183779761904762
0,3-7,5,1,4815,0.14927455357142858
0,3-7,5,2,14808,0.45907738095238093
0,3-7,5,3,12240,0.3794642857142857
0,3-7,6,0,482,0.01494295634920635
0,3-7,6,1,5079,0.15745907738095238
0,3-7,6,2,14986,0.46459573412698413
0,3-7,6,3,11709,0.36300223214285715
0,3-7,7,0,617,0.019128224206349208
0,3-7,7,1,4966,0.15395585317460317
0,3-7,7,2,15567,0.4826078869047619
0,3-7,7,3,11106,0.3443080357142857
0,3-7,-1,0,2203,0.008537171378968254
0,3-7,-1,1,23726,0.09194413442460317
0,3-7,-1,2,90916,0.3523220486111111
0,3-7,-1,3,141203,0.5471966455853174
0,3-8,0,0,0,0.0
0,3-8,0,1,27,0.0008370535714285714
0,3-8,0,2,2061,0.06389508928571429
0,3-8,0,3,30168,0.9352678571428571
0,3-8,1,0,14,0.00043402777777777775
0,3-8,1,1,282,0.008742559523809524
0,3-8,1,2,5070,0.15718005952380953
0,3-8,1,3,26890,0.8336433531746031
0,3-8,2,0,85,0.002635168650793651
0,3-8,2,1,986,0.030567956349206348
0,3-8,2,2,8669,0.2687562003968254
0,3-8,2,3,22516,0.6980406746031746
0,3-8,3,0,215,0.006665426587301587
0,3-8,3,1,2386,0.07397073412698413
0,3-8,3,2,12130,0.37605406746031744
0,3-8,3,3,17525,0.5433097718253969
0,3-8,4,0,234,0.007254464285714286
0,3-8,4,1,2853,0.08844866071428571
0,3-8,4,2,12569,0.3896639384920635
0,3-8,4,3,16600,0.5146329365079365
0,3-8,5,0,336,0.010416666666666666
0,3-8,5,1,3828,0.11867559523809523
0,3-8,5,2,14066,0.4360739087301587
0,3-8,5,3,14026,0.43483382936507936
0,3-8,6,0,359,0.011129712301587302
0,3-8,6,1,4913,0.15231274801587302
0,3-8,6,2,14187,0.43982514880952384
0,3-8,6,3,12797,0.39673239087301587
0,3-8,7,0,226,0.007006448412698413
0,3-8,7,1,4389,0.13606770833333334
0,3-8,7,2,15265,0.4732452876984127
0,3-8,7,3,12376,0.3836805555555556
0,3-8,-1,0,1469,0.00569273933531746
0,3-8,-1,1,19664,0.07620287698412699
0,3-8,-1,2,84017,0.3255867125496032
0,3-8,-1,3,152898,0.5925176711309523
0,4-5,0,0,0,0.0
0,4-5,0,1,30,0.0009300595238095238
0,4-5,0,2,804,0.02492559523809524
0,4-5,0,3,9799,0.30378844246031744
0,4-5,0,4,21623,0.6703559027777778
0,4-5,1,0,0,0.0
0,4-5,1,1,152,0.004712301587301587
0,4-5,1,2,3189,0.09886532738095238
0,4-5,1,3,13983,0.43350074404761907
0,4-5,1,4,14932,0.462921626984127
0,4-5,2,0,53,0.0016431051587301587
0,4-5,2,1,881,0.027312748015873016
0,4-5,2,2,5999,0.1859809027777778
0,4-5,2,3,15528,0.48139880952380953
0,4-5,2,4,9795,0.30366443452380953
0,4-5,3,0,92,0.0028521825396825395
0,4-5,3,1,1505,0.04665798611111111
0,4-5,3,2,8131,0.25207713293650796
0,4-5,3,3,15714,0.48716517857142855
0,4-5,3,4,6814,0.21124751984126985
0,4-5,4,0,145,0.004495287698412698
0,4-5,4,1,2505,0.07765997023809523
0,4-5,4,2,10135,0.31420510912698413
0,4-5,4,3,14439,0.44763764880952384
0,4-5,4,4,5032,0.15600198412698413
0,4-5,5,0,178,0.005518353174603175
0,4-5,5,1,2703,0.0837983630952381
0,4-5,5,2,11331,0.35128348214285715
0,4-5,5,3,13869,0.42996651785714285
0,4-5,5,4,4175,0.12943328373015872
0,4-5,6,0,289,0.008959573412698412
0,4-5,6,1,2917,0.0904327876984127
0,4-5,6,2,12078,0.3744419642857143
0,4-5,6,3,13244,0.4105902777777778
0,4-5,6,4,3728,0.11557539682539683
0,4-5,7,0,104,0.003224206349206349
0,4-5,7,1,3033,0.09402901785714286
0,4-5,7,2,12141,0.3763950892857143
0,4-5,7,3,13549,0.42004588293650796
0,4-5,7,4,3429,0.10630580357142858
0,4-5,-1,0,861,0.0033365885416666665
0,4-5,-1,1,13726,0.053191654265873016
0,4-5,-1,2,63808,0.2472718253968254
0,4-5,-1,3,110125,0.42676168774801587
0,4-5,-1,4,69528,0.26943824404761907
0,4-6,0,0,0,0.0
0,4-6,0,1,26,0.0008060515873015873
0,4-6,0,2,477,0.014787946428571428
0,4-6,0,3,5652,0.17522321428571427
0,4-6,0,4,26101,0.8091827876984127
0,4-6,1,0,0,0.0
0,4-6,1,1,92,0.0028521825396825395
0,4-6,1,2,1537,0.0476500496031746
0,4-6,1,3,10965,0.33993675595238093
0,4-6,1,4,19662,0.6095610119047619
0,4-6,2,0,45,0.0013950892857142857
0,4-6,2,1,308,0.009548611111111112
0,4-6,2,2,3979,0.12335689484126984
0,4-6,2,3,13691,0.4244481646825397
0,4-6,2,4,14233,0.44125124007936506
0,4-6,3,0,64,0.001984126984126984
0,4-6,3,1,983,0.030474950396825396
0,4-6,3,2,6109,0.18939112103174602
0,4-6,3,3,14821,0.45948040674603174
0,4-6,3,4,10279,0.3186693948412698
0,4-6,4,0,85,0.002635168650793651
0,4-6,4,1,1275,0.03952752976190476
0,4-6,4,2,7645,0.23701016865079366
