seed,pair,layer_id,top_m,overlap_fraction
0,1-3,3,1,0.19205729166666666
0,1-3,3,2,0.26599702380952384
0,1-3,3,3,0.30670262896825395
0,1-3,3,4,0.35044642857142855
0,1-3,3,5,0.38743799603174606
0,1-3,3,6,0.42275338955026454
0,1-3,3,7,0.4563359197845805
0,1-3,3,8,0.4843091207837302
0,1-3,3,9,0.5120287698412699
0,1-3,3,10,0.5394779265873015
0,1-3,3,11,0.5641008297258298
0,1-3,3,12,0.5881748098544973
0,1-3,3,13,0.6105173038766789
0,1-3,3,14,0.6302459785997733
0,1-3,3,15,0.6508308531746032
0,1-3,3,16,0.6736537388392857
0,1-3,3,17,0.6962352649393091
0,1-3,3,18,0.7163731812169312
0,1-3,3,19,0.7357782477025898
0,1-3,3,20,0.7555896577380953
0,1-3,3,21,0.7742317413076342
0,1-3,3,22,0.7941186417748918
0,1-3,3,23,0.8130027713077985
0,1-3,3,24,0.8322082196593915
0,1-3,3,25,0.8514781746031747
0,1-3,3,26,0.870620373550061
0,1-3,3,27,0.8900462962962963
0,1-3,3,28,0.9092018317743764
0,1-3,3,29,0.9296971213054187
0,1-3,3,30,0.9514932622354497
0,1-3,3,31,0.9739173307091654
0,1-3,3,32,1.0
0,1-3,4,1,0.16198536706349206
0,1-3,4,2,0.23344494047619047
0,1-3,4,3,0.2861483134920635
0,1-3,4,4,0.32859002976190477
0,1-3,4,5,0.36415550595238094
0,1-3,4,6,0.3998739252645503
0,1-3,4,7,0.43095415249433106
0,1-3,4,8,0.45977880084325395
0,1-3,4,9,0.488250248015873
0,1-3,4,10,0.5162853422619048
0,1-3,4,11,0.5410917207792207
0,1-3,4,12,0.5653625165343915
0,1-3,4,13,0.5869343330280831
0,1-3,4,14,0.6107789469954649
0,1-3,4,15,0.6327174272486773
0,1-3,4,16,0.6541031125992064
0,1-3,4,17,0.6753891660831
0,1-3,4,18,0.696213279872134
0,1-3,4,19,0.7167234492481203
0,1-3,4,20,0.7367978050595239
0,1-3,4,21,0.7578833616780045
0,1-3,4,22,0.7783499053030303
0,1-3,4,23,0.7984736240510697
0,1-3,4,24,0.8183826264880952
0,1-3,4,25,0.839000496031746
0,1-3,4,26,0.8595955910409036
0,1-3,4,27,0.8811716912845385
0,1-3,4,28,0.902980397888322
0,1-3,4,29,0.9253525673918993
0,1-3,4,30,0.9487092840608465
0,1-3,4,31,0.9731742831541219
0,1-3,4,32,1.0
0,1-3,5,1,0.1578311011904762
0,1-3,5,2,0.22608196924603174
0,1-3,5,3,0.26751612103174605
0,1-3,5,4,0.30947730654761907
0,1-3,5,5,0.34685019841269843
0,1-3,5,6,0.38041501322751325
0,1-3,5,7,0.410718714569161
0,1-3,5,8,0.44047619047619047
0,1-3,5,9,0.4673376873897707
0,1-3,5,10,0.4941964285714286
0,1-3,5,11,0.5205064033189033
0,1-3,5,12,0.5452913153108465
0,1-3,5,13,0.5707131410256411
0,1-3,5,14,0.5943279655612245
0,1-3,5,15,0.6176401289682539
0,1-3,5,16,0.6394914899553571
0,1-3,5,17,0.6611373716153128
0,1-3,5,18,0.6833198991402116
0,1-3,5,19,0.7052315032372598
0,1-3,5,20,0.727312748015873
0,1-3,5,21,0.749447869425548
0,1-3,5,22,0.7714336444805194
0,1-3,5,23,0.7929552708764666
0,1-3,5,24,0.8152501343419312
0,1-3,5,25,0.8367522321428571
0,1-3,5,26,0.8583292792277167
0,1-3,5,27,0.8804437187683716
0,1-3,5,28,0.9023426427862812
