seed,pair,layer_id,metric_name,same_compute,fixed_step,fixed_minus_same
0,2-3,3,coactivation_cosine,0.7959599579083518,0.7924741351832096,-0.003485822725142196
0,2-3,3,nestedness,0.5392020089285714,0.5705295138888888,0.03132750496031744
0,2-3,3,spearman,0.6668087244033813,0.733155369758606,0.06634664535522461
0,2-3,3,top1_agreement,0.38073536706349204,0.41322544642857145,0.032490079365079416
0,2-3,3,top_pair_overlap,0.05263157894736842,0.17647058823529413,0.12383900928792571
0,2-3,4,coactivation_cosine,0.8010569776684011,0.7961765018899419,-0.004880475778459181
0,2-3,4,nestedness,0.5284133184523809,0.5766524057539683,0.048239087301587324
0,2-3,4,spearman,0.6386887431144714,0.6984754204750061,0.05978667736053467
0,2-3,4,top1_agreement,0.40869915674603174,0.43322172619047616,0.02452256944444442
0,2-3,4,top_pair_overlap,0.1111111111111111,0.1111111111111111,0.0
0,2-3,5,coactivation_cosine,0.7636045702177314,0.7811638862596818,0.01755931604195038
0,2-3,5,nestedness,0.5025266617063492,0.5246620783730159,0.02213541666666674
0,2-3,5,spearman,0.602845311164856,0.6531001329421997,0.05025482177734375
0,2-3,5,top1_agreement,0.3743799603174603,0.3860987103174603,0.01171875
0,2-3,5,top_pair_overlap,0.25,0.17647058823529413,-0.07352941176470587
0,2-3,6,coactivation_cosine,0.7712177292508012,0.7396607150189127,-0.0315570142318885
0,2-3,6,nestedness,0.482421875,0.5121062748015873,0.029684399801587324
0,2-3,6,spearman,0.5592595934867859,0.6083903908729553,0.049130797386169434
0,2-3,6,top1_agreement,0.3621031746031746,0.36204117063492064,-6.200396825395416e-05
0,2-3,6,top_pair_overlap,0.25,0.1111111111111111,-0.1388888888888889
0,2-3,7,coactivation_cosine,0.6993761557139018,0.6550440589078809,-0.044332096806020904
0,2-3,7,nestedness,0.5300874255952381,0.5550595238095238,0.0249720982142857
0,2-3,7,spearman,0.6082831025123596,0.6519525647163391,0.04366946220397949
0,2-3,7,top1_agreement,0.42001488095238093,0.47588045634920634,0.055865575396825407
0,2-3,7,top_pair_overlap,0.17647058823529413,0.1111111111111111,-0.06535947712418302
0,2-4,0,coactivation_cosine,0.7761872034606517,0.8105130583599388,0.03432585489928708
0,2-4,0,nestedness,0.8862072172619048,0.9144655257936508,0.028258308531746046
0,2-4,0,spearman,0.9215859770774841,0.9451013803482056,0.023515403270721436
0,2-4,0,top1_agreement,0.6329985119047619,0.6831907242063492,0.050192212301587324
0,2-4,0,top_pair_overlap,0.3333333333333333,0.25,-0.08333333333333331
0,2-4,1,coactivation_cosine,0.7906312628053634,0.7988452538467564,0.008213991041392976
0,2-4,1,nestedness,0.7738870287698413,0.8169642857142857,0.04307725694444442
0,2-4,1,spearman,0.8303247094154358,0.8773645162582397,0.047039806842803955
0,2-4,1,top1_agreement,0.5017361111111112,0.5369543650793651,0.035218253968253954
0,2-4,1,top_pair_overlap,0.05263157894736842,0.25,0.19736842105263158
0,2-4,2,coactivation_cosine,0.7755310632345201,0.8014214633723882,0.02589040013786803
0,2-4,2,nestedness,0.6659226190476191,0.7338944692460317,0.06797185019841268
0,2-4,2,spearman,0.7370404005050659,0.7901759743690491,0.053135573863983154
0,2-4,2,top1_agreement,0.42199900793650796,0.47061011904761907,0.048611111111111105
0,2-4,2,top_pair_overlap,0.1111111111111111,0.05263157894736842,-0.05847953216374269
0,2-4,3,coactivation_cosine,0.7619905967851799,0.7881653888824449,0.02617479209726503
0,2-4,3,nestedness,0.6126302083333334,0.6595827132936508,0.04695250496031744
0,2-4,3,spearman,0.6715121269226074,0.7351336479187012,0.06362152099609375
0,2-4,3,top1_agreement,0.37524801587301587,0.40531994047619047,0.030071924603174593
0,2-4,3,top_pair_overlap,0.0,0.17647058823529413,0.17647058823529413
0,2-4,4,coactivation_cosine,0.7686737108676114,0.7332200636245374,-0.03545364724307398
0,2-4,4,nestedness,0.5834883432539683,0.6266431051587301,0.04315476190476186
0,2-4,4,spearman,0.6216781139373779,0.6755329370498657,0.05385482311248779
0,2-4,4,top1_agreement,0.3706597222222222,0.4015997023809524,0.030939980158730174
0,2-4,4,top_pair_overlap,0.1111111111111111,0.1111111111111111,0.0
0,2-4,5,coactivation_cosine,0.7376025709324949,0.776246510739041,0.038643939806546124
0,2-4,5,nestedness,0.5648096478174603,0.583953373015873,0.019143725198412676
0,2-4,5,spearman,0.6001227498054504,0.6371726393699646,0.03704988956451416
0,2-4,5,top1_agreement,0.3546006944444444,0.35943700396825395,0.004836309523809534
0,2-4,5,top_pair_overlap,0.05263157894736842,0.17647058823529413,0.12383900928792571
0,2-4,6,coactivation_cosine,0.7821968682462246,0.713158896566394,-0.06903797167983061
0,2-4,6,nestedness,0.5286923363095238,0.5489521329365079,0.020259796626984072
