seed,train_k,layer_id,mutual_information,normalized_mutual_information,expert_purity,mean_pairwise_task_js
0,7,0,0.0040377317521300676,0.0015562440982998071,0.1624858276643991,0.0023561966433914886
0,7,1,0.01023524658693581,0.0039455627600757945,0.17552880527210885,0.005925561538646363
0,7,2,0.028683558489694148,0.011059511531821957,0.1950201955782313,0.016703660576954153
0,7,3,0.06801452569173985,0.026234863316537415,0.22806831065759636,0.03932464413869212
0,7,4,0.09269090548988324,0.03575581737385592,0.2428252551020408,0.05359922475758811
0,7,5,0.08864300604229283,0.03418810920395817,0.2536183744331066,0.049807318038892996
0,7,6,0.06359592630675387,0.02453594391944349,0.2220672123015873,0.03737269982948194
0,7,7,0.04352414792003332,0.01687737304331935,0.21082234977324263,0.024564038069918866
0,8,0,0.0037173351066714165,0.0014328674506567628,0.16155908978174602,0.0021642178327808356
0,8,1,0.009862222927370072,0.0038022408738877227,0.17466905381944445,0.005744153887415744
0,8,2,0.02469084586413904,0.009514869958765678,0.1888757130456349,0.014423179670708355
0,8,3,0.05393749574007758,0.020801012262393007,0.21684725322420634,0.03130334898548218
0,8,4,0.08137658874647068,0.031387584031141516,0.23747132316468253,0.04702548888381976
0,8,5,0.07079727531406717,0.027315859072803386,0.2331969246031746,0.04043400044244116
0,8,6,0.05754968863443699,0.02220652036535112,0.21960642981150794,0.033598202315900105
0,8,7,0.03732254918645005,0.01448737410027544,0.19988141741071427,0.021774363443896026
1,1,0,0.026554009368252668,0.010281318519837686,0.19419642857142858,0.01561260716376787
1,1,1,0.028297050355211555,0.010924539255399662,0.19404141865079366,0.01656134271128883
1,1,2,0.03350168559085498,0.012943418337410433,0.2037140376984127,0.0194859589361074
1,1,3,0.029061242940137944,0.011255174976629643,0.1909722222222222,0.01720223719249599
1,1,4,0.03560370724755353,0.013776073337346883,0.1968936011904762,0.020893562851259834
1,1,5,0.0400078010335283,0.01553257910682812,0.20129588293650794,0.023611752727092313
1,1,6,0.04346334710127333,0.016869509140238326,0.2076202876984127,0.025378894022555432
1,1,7,0.04115463942365305,0.01603807994799779,0.20399305555555555,0.023921328620500518
1,2,0,0.014237993995958303,0.005507711145308776,0.17798239087301587,0.0082802702106109
1,2,1,0.030543436218207515,0.011828886489990496,0.19312686011904762,0.01793415495295424
1,2,2,0.06426991168721005,0.0250590883531452,0.22530691964285715,0.037473982160088556
1,2,3,0.10965712589182602,0.04239518785469623,0.25427827380952384,0.06386137549795919
1,2,4,0.16309792090367886,0.06342629409333318,0.2918061755952381,0.09092179356785077
1,2,5,0.14244120237786434,0.05527334510404993,0.28087797619047616,0.0793834735422951
1,2,6,0.15280188036518672,0.059843219606994076,0.2755766369047619,0.08512479849097693
1,2,7,0.06962209398163688,0.02717764489612277,0.22648499503968253,0.040197867290804504
1,3,0,0.010231733642263499,0.003956442456506639,0.17484085648148148,0.005950186290189737
1,3,1,0.02429173815633984,0.0093845953855563,0.19227430555555555,0.014161065378037244
1,3,2,0.048204779988057875,0.018654636315660618,0.2158461474867725,0.027726768531383388
1,3,3,0.09477081762627264,0.03667622705358932,0.23620411706349206,0.05543525023000112
1,3,4,0.16310824397740908,0.06304567028075142,0.2827277612433862,0.09083081478150827
1,3,5,0.14779542154378866,0.05721716268109177,0.27607266865079366,0.08172650113604274
1,3,6,0.13127820774291526,0.050875842961649285,0.2644882605820106,0.07395762826945684
1,3,7,0.06338420472205517,0.024614704879753493,0.21903935185185186,0.036899324870485216
1,4,0,0.009346191844064189,0.003609099382837331,0.17254154265873015,0.005444360724805143
1,4,1,0.017867548334327965,0.006896040713793437,0.1827179439484127,0.01045938535486467
1,4,2,0.050742719055046875,0.01958611435487702,0.21595207093253968,0.029435934690293847
1,4,3,0.07926619178106874,0.030685223043258367,0.2335534474206349,0.04641797506919018
