seed,pair,layer_id,top_m,overlap_fraction
0,1-3,1,12,0.6308438740079365
0,1-3,1,13,0.6506314865689866
0,1-3,1,14,0.6708829365079365
0,1-3,1,15,0.6900648974867725
0,1-3,1,16,0.7089901878720238
0,1-3,1,17,0.7268688725490197
0,1-3,1,18,0.7444403108465608
0,1-3,1,19,0.7618998668546366
0,1-3,1,20,0.7804547991071429
0,1-3,1,21,0.7978818263416477
0,1-3,1,22,0.8143009334415584
0,1-3,1,23,0.8312993335921325
0,1-3,1,24,0.8488485346395502
0,1-3,1,25,0.8659213789682539
0,1-3,1,26,0.8822890434218559
0,1-3,1,27,0.9002298739711934
0,1-3,1,28,0.9175590809240363
0,1-3,1,29,0.9351139162561576
0,1-3,1,30,0.954234871031746
0,1-3,1,31,0.975430427547363
0,1-3,1,32,1.0
0,1-3,2,1,0.14152405753968253
0,1-3,2,2,0.23414248511904762
0,1-3,2,3,0.2886698082010582
0,1-3,2,4,0.334503658234127
0,1-3,2,5,0.37397693452380953
0,1-3,2,6,0.40880766369047616
0,1-3,2,7,0.43954170209750565
0,1-3,2,8,0.46948629712301587
0,1-3,2,9,0.49741650132275134
0,1-3,2,10,0.5244977678571429
0,1-3,2,11,0.5501471185064936
0,1-3,2,12,0.5744435143849206
0,1-3,2,13,0.5981665903540904
0,1-3,2,14,0.6208036600056689
0,1-3,2,15,0.6434895833333333
0,1-3,2,16,0.6657152932787699
0,1-3,2,17,0.6879650297619048
0,1-3,2,18,0.7084401179453262
0,1-3,2,19,0.728874595342523
0,1-3,2,20,0.7485599578373016
0,1-3,2,21,0.7682335955215419
0,1-3,2,22,0.7873545725108225
0,1-3,2,23,0.8079184459109731
0,1-3,2,24,0.8278059379133598
0,1-3,2,25,0.8480381944444444
0,1-3,2,26,0.8679780505952381
0,1-3,2,27,0.8878049676660787
0,1-3,2,28,0.9083747431264172
0,1-3,2,29,0.9287841663245758
0,1-3,2,30,0.9505601025132275
0,1-3,2,31,0.9735533074116743
0,1-3,2,32,1.0
0,1-3,3,1,0.14456225198412698
0,1-3,3,2,0.20982142857142858
0,1-3,3,3,0.2574301421957672
0,1-3,3,4,0.29513113839285715
0,1-3,3,5,0.33193824404761907
0,1-3,3,6,0.36632461144179895
0,1-3,3,7,0.3979547548185941
0,1-3,3,8,0.431183345734127
0,1-3,3,9,0.4612475198412698
0,1-3,3,10,0.4900328621031746
0,1-3,3,11,0.5171187319624819
0,1-3,3,12,0.5412300553902116
0,1-3,3,13,0.5664610996642246
0,1-3,3,14,0.5905368657879818
0,1-3,3,15,0.614186507936508
0,1-3,3,16,0.636290535094246
0,1-3,3,17,0.6587374533146592
0,1-3,3,18,0.6813151041666666
0,1-3,3,19,0.7047730002088555
0,1-3,3,20,0.7272398933531746
0,1-3,3,21,0.7483967545351474
0,1-3,3,22,0.7694354256854257
0,1-3,3,23,0.791081672705314
0,1-3,3,24,0.8129404865244709
0,1-3,3,25,0.8340252976190476
0,1-3,3,26,0.8550955338064713
0,1-3,3,27,0.8775260875955321
0,1-3,3,28,0.8999809559240363
0,1-3,3,29,0.9231899117405583
0,1-3,3,30,0.9474227017195768
