seed,train_k,layer_id,task_id,task_name,expert_id,count,share
0,1,1,5,reasoning,11,94,0.020399305555555556
0,1,1,5,reasoning,12,153,0.033203125
0,1,1,5,reasoning,13,119,0.025824652777777776
0,1,1,5,reasoning,14,55,0.011935763888888888
0,1,1,5,reasoning,15,126,0.02734375
0,1,1,5,reasoning,16,73,0.015842013888888888
0,1,1,5,reasoning,17,151,0.032769097222222224
0,1,1,5,reasoning,18,152,0.03298611111111111
0,1,1,5,reasoning,19,74,0.016059027777777776
0,1,1,5,reasoning,20,39,0.008463541666666666
0,1,1,5,reasoning,21,117,0.025390625
0,1,1,5,reasoning,22,185,0.04014756944444445
0,1,1,5,reasoning,23,100,0.021701388888888888
0,1,1,5,reasoning,24,204,0.044270833333333336
0,1,1,5,reasoning,25,132,0.028645833333333332
0,1,1,5,reasoning,26,97,0.021050347222222224
0,1,1,5,reasoning,27,189,0.041015625
0,1,1,5,reasoning,28,157,0.03407118055555555
0,1,1,5,reasoning,29,263,0.057074652777777776
0,1,1,5,reasoning,30,77,0.016710069444444444
0,1,1,5,reasoning,31,189,0.041015625
0,1,1,6,translation,0,181,0.03927951388888889
0,1,1,6,translation,1,151,0.032769097222222224
0,1,1,6,translation,2,181,0.03927951388888889
0,1,1,6,translation,3,136,0.029513888888888888
0,1,1,6,translation,4,74,0.016059027777777776
0,1,1,6,translation,5,75,0.016276041666666668
0,1,1,6,translation,6,185,0.04014756944444445
0,1,1,6,translation,7,259,0.056206597222222224
0,1,1,6,translation,8,175,0.03797743055555555
0,1,1,6,translation,9,175,0.03797743055555555
0,1,1,6,translation,10,182,0.039496527777777776
0,1,1,6,translation,11,155,0.033637152777777776
0,1,1,6,translation,12,185,0.04014756944444445
0,1,1,6,translation,13,113,0.024522569444444444
0,1,1,6,translation,14,46,0.009982638888888888
0,1,1,6,translation,15,179,0.03884548611111111
0,1,1,6,translation,16,61,0.013237847222222222
0,1,1,6,translation,17,132,0.028645833333333332
0,1,1,6,translation,18,105,0.022786458333333332
0,1,1,6,translation,19,165,0.035807291666666664
0,1,1,6,translation,20,66,0.014322916666666666
0,1,1,6,translation,21,89,0.019314236111111112
0,1,1,6,translation,22,134,0.029079861111111112
0,1,1,6,translation,23,91,0.019748263888888888
0,1,1,6,translation,24,151,0.032769097222222224
0,1,1,6,translation,25,186,0.040364583333333336
0,1,1,6,translation,26,182,0.039496527777777776
0,1,1,6,translation,27,199,0.04318576388888889
0,1,1,6,translation,28,230,0.04991319444444445
0,1,1,6,translation,29,140,0.030381944444444444
0,1,1,6,translation,30,75,0.016276041666666668
0,1,1,6,translation,31,150,0.032552083333333336
0,1,2,0,general_ko,0,88,0.019097222222222224
0,1,2,0,general_ko,1,175,0.03797743055555555
0,1,2,0,general_ko,2,223,0.048394097222222224
0,1,2,0,general_ko,3,115,0.024956597222222224
0,1,2,0,general_ko,4,117,0.025390625
0,1,2,0,general_ko,5,87,0.018880208333333332
0,1,2,0,general_ko,6,86,0.018663194444444444
0,1,2,0,general_ko,7,79,0.017144097222222224
0,1,2,0,general_ko,8,219,0.047526041666666664
0,1,2,0,general_ko,9,227,0.049262152777777776
0,1,2,0,general_ko,10,99,0.021484375
0,1,2,0,general_ko,11,144,0.03125
0,1,2,0,general_ko,12,282,0.061197916666666664
0,1,2,0,general_ko,13,244,0.05295138888888889
0,1,2,0,general_ko,14,172,0.03732638888888889
0,1,2,0,general_ko,15,141,0.030598958333333332
0,1,2,0,general_ko,16,189,0.041015625
0,1,2,0,general_ko,17,159,0.034505208333333336
0,1,2,0,general_ko,18,182,0.039496527777777776
0,1,2,0,general_ko,19,84,0.018229166666666668
0,1,2,0,general_ko,20,138,0.029947916666666668
0,1,2,0,general_ko,21,43,0.009331597222222222
0,1,2,0,general_ko,22,244,0.05295138888888889
0,1,2,0,general_ko,23,191,0.041449652777777776
0,1,2,0,general_ko,24,59,0.012803819444444444
0,1,2,0,general_ko,25,138,0.029947916666666668
0,1,2,0,general_ko,26,118,0.025607638888888888
0,1,2,0,general_ko,27,152,0.03298611111111111
0,1,2,0,general_ko,28,135,0.029296875
0,1,2,0,general_ko,29,134,0.029079861111111112
0,1,2,0,general_ko,30,51,0.011067708333333334
0,1,2,0,general_ko,31,93,0.020182291666666668
0,1,2,1,general_en,0,117,0.025390625
0,1,2,1,general_en,1,118,0.025607638888888888
0,1,2,1,general_en,2,225,0.048828125
0,1,2,1,general_en,3,161,0.03493923611111111
0,1,2,1,general_en,4,108,0.0234375
0,1,2,1,general_en,5,192,0.041666666666666664
0,1,2,1,general_en,6,60,0.013020833333333334
0,1,2,1,general_en,7,94,0.020399305555555556
0,1,2,1,general_en,8,225,0.048828125
0,1,2,1,general_en,9,193,0.04188368055555555
0,1,2,1,general_en,10,181,0.03927951388888889
0,1,2,1,general_en,11,194,0.04210069444444445
