seed,train_k,layer_id,task_id,task_name,num_records,normalized_gate_entropy,top1_top2_logit_margin,selected_probability_mass,normalized_selected_weight_entropy
0,5,1,0,general_ko,4608,0.9409813284873962,0.3285735845565796,0.3536261320114136,0.9680398106575012
0,5,1,1,general_en,4608,0.9405083060264587,0.34799718856811523,0.35283976793289185,0.9661376476287842
0,5,1,2,math_ko,4608,0.9420261383056641,0.3179774880409241,0.352711945772171,0.9702194929122925
0,5,1,3,math_en,4608,0.9407665729522705,0.3325609564781189,0.35305097699165344,0.968260645866394
0,5,1,4,code,4608,0.9421163201332092,0.33296340703964233,0.35140126943588257,0.9667335152626038
0,5,1,5,reasoning,4608,0.9412840604782104,0.32302385568618774,0.3528737425804138,0.967915952205658
0,5,1,6,translation,4608,0.939457893371582,0.33320367336273193,0.35593849420547485,0.9669793248176575
0,5,2,0,general_ko,4608,0.93266761302948,0.35806596279144287,0.37129974365234375,0.9610218405723572
0,5,2,1,general_en,4608,0.9374269843101501,0.35301631689071655,0.3607673645019531,0.96497642993927
0,5,2,2,math_ko,4608,0.9346657991409302,0.36167028546333313,0.36604154109954834,0.9620177149772644
0,5,2,3,math_en,4608,0.9349956512451172,0.362026572227478,0.3653384745121002,0.9625250697135925
0,5,2,4,code,4608,0.9362547397613525,0.3456953465938568,0.36393505334854126,0.9662421345710754
0,5,2,5,reasoning,4608,0.9328868389129639,0.39413726329803467,0.36863744258880615,0.9580591917037964
0,5,2,6,translation,4608,0.9335339665412903,0.3474258780479431,0.3682834506034851,0.9631474018096924
0,5,3,0,general_ko,4608,0.9214537143707275,0.4036804735660553,0.3908455967903137,0.9544773101806641
0,5,3,1,general_en,4608,0.9230747222900391,0.40352141857147217,0.38653120398521423,0.9526845216751099
0,5,3,2,math_ko,4608,0.9175438284873962,0.41755834221839905,0.3977962136268616,0.9499350786209106
0,5,3,3,math_en,4608,0.9196451902389526,0.40946927666664124,0.39276933670043945,0.9539282321929932
0,5,3,4,code,4608,0.9173762202262878,0.40323126316070557,0.3972674310207367,0.9511199593544006
0,5,3,5,reasoning,4608,0.9250575304031372,0.36818021535873413,0.38428008556365967,0.9588807225227356
0,5,3,6,translation,4608,0.9206759929656982,0.4175511598587036,0.39145636558532715,0.9515864849090576
0,5,4,0,general_ko,4608,0.9067310690879822,0.5221550464630127,0.41433990001678467,0.9299958348274231
0,5,4,1,general_en,4608,0.9109097719192505,0.4598107933998108,0.40786850452423096,0.939889669418335
0,5,4,2,math_ko,4608,0.9111773371696472,0.45415782928466797,0.40944328904151917,0.9427413940429688
0,5,4,3,math_en,4608,0.9020497798919678,0.4995113015174866,0.42353901267051697,0.9337113499641418
0,5,4,4,code,4608,0.8892574310302734,0.5643619894981384,0.4405140280723572,0.9183869957923889
0,5,4,5,reasoning,4608,0.9025035500526428,0.5137770175933838,0.4222950041294098,0.9306418299674988
0,5,4,6,translation,4608,0.9074683785438538,0.5039948225021362,0.4111969769001007,0.9349159598350525
