seed,pair,layer_id,intersection_size,count,share
0,4-6,6,0,137,0.004247271825396825
0,4-6,6,1,2084,0.06460813492063493
0,4-6,6,2,9706,0.30090525793650796
0,4-6,6,3,14271,0.44242931547619047
0,4-6,6,4,6058,0.18781001984126985
0,4-6,7,0,165,0.005115327380952381
0,4-6,7,1,2451,0.0759858630952381
0,4-6,7,2,9937,0.3080667162698413
0,4-6,7,3,14473,0.4486917162698413
0,4-6,7,4,5230,0.16214037698412698
0,4-6,-1,0,537,0.0020810081845238095
0,4-6,-1,1,8874,0.034388950892857144
0,4-6,-1,2,46167,0.17890857514880953
0,4-6,-1,3,103226,0.40002635168650796
0,4-6,-1,4,99244,0.38459511408730157
0,4-7,0,0,0,0.0
0,4-7,0,1,5,0.00015500992063492063
0,4-7,0,2,320,0.00992063492063492
0,4-7,0,3,3212,0.09957837301587301
0,4-7,0,4,28719,0.8903459821428571
0,4-7,1,0,0,0.0
0,4-7,1,1,51,0.0015811011904761905
0,4-7,1,2,857,0.026568700396825396
0,4-7,1,3,7814,0.24224950396825398
0,4-7,1,4,23534,0.7296006944444444
